iter	RMSE
125	0.17017387
126	0.1699820695
127	0.1697516009
128	0.1695174997
129	0.1692057045
130	0.1688319867
131	0.1684498081
132	0.1683211303
133	0.168091578
134	0.1679055111
135	0.1676181497
136	0.1674182705
137	0.1671986823
138	0.1670061082
139	0.1667267527
140	0.1663972691
141	0.166171126
142	0.1660409804
143	0.165807438
144	0.1656585644
145	0.1652367531
146	0.1650453946
147	0.1648573149
148	0.1646214378
149	0.1644301786
150	0.1642732627
151	0.1641846567
152	0.163898697
153	0.1636709724
154	0.1634387104
155	0.163285663
156	0.1630336236
157	0.1629348966
158	0.1627028825
159	0.1625500366
160	0.1624298946
161	0.1623243795
162	0.1622333281
163	0.1621348042
164	0.1620097064
165	0.1618142103
166	0.1616580772
167	0.1614585707
168	0.1614012205
169	0.1611886468
170	0.1609849002
171	0.1607621405
172	0.1605777532
173	0.160294086
174	0.1602714791
175	0.1600108275
176	0.1598359688
177	0.1596845513
178	0.1595194327
179	0.1593627582
180	0.1591781438
181	0.1590849807
182	0.1589163292
183	0.158755452
184	0.158497676
185	0.1582856406
186	0.1580934965
187	0.1580494982
188	0.1578942495
189	0.1577850567
190	0.1575884446
191	0.1574807448
192	0.1573128952
193	0.1572754717
194	0.157061601
195	0.1568405888
196	0.1566215495
197	0.1564015922
198	0.1562852097
199	0.1561420772
200	0.1559609437
201	0.1558186811
202	0.1556733997
203	0.155540435
204	0.1553566743
205	0.155175507
206	0.1551428634
207	0.155048981
208	0.1549404887
209	0.1548833083
210	0.1547073712
211	0.1545117564
212	0.1543635331
213	0.1543386252
214	0.1542364655
215	0.1541627703
216	0.1541067311
217	0.1538881929
218	0.1538334333
219	0.1537767394
220	0.1537049883
221	0.1535479374
222	0.153386305
223	0.1532392779
224	0.1530976542
225	0.1529829026
226	0.1529186954
227	0.1528342385
228	0.1528320441
229	0.1528300333
230	0.1527905786
231	0.1527484262
232	0.152636748
233	0.152496215
234	0.1524355312
235	0.1522477601
236	0.1520488537
237	0.1519278379
238	0.1517993902
239	0.1517739566
240	0.151517089
241	0.1514708764
242	0.1513966211
243	0.1513626519
244	0.1512500651
245	0.1511133155
246	0.1509552921
247	0.1509202454
248	0.1508554965
249	0.1507834001
250	0.1507129778
251	0.1505434833
252	0.1503199971
253	0.1501727192
254	0.1500540943
255	0.1500208952
256	0.1499076922
257	0.149807732
258	0.149760236
259	0.1497587016
260	0.1496489969
261	0.1494488681
262	0.1494225094
263	0.149265041
264	0.1490868903
265	0.1489762294
266	0.1487520414
267	0.1485098643
268	0.1484796249
269	0.1483544461
270	0.1481928206
271	0.1480748431
272	0.1480286766
273	0.147912541
274	0.1478128466
275	0.1477017437
276	0.1476802943
277	0.1476531658
278	0.1475503958
279	0.1474574988
280	0.1473011758
281	0.1471867273
282	0.1471718942
283	0.147040448
284	0.1469598599
285	0.1467896133
286	0.1466271802
287	0.1466126455
288	0.1465901364
289	0.1465108257
290	0.1464737541
291	0.1463303356
292	0.1461097253
293	0.1459975195
294	0.1458566868
295	0.1457413993
296	0.145728119
297	0.1455723211
298	0.1455358195
299	0.1455127636
300	0.1454809458
301	0.1454188526
302	0.1452903045
303	0.1451940064
304	0.1450989329
305	0.1450151357
306	0.1449474165
307	0.1448636103
308	0.1447503643
309	0.1446801785
310	0.1445606095
311	0.1444275957
312	0.1442991045
313	0.1441972929
314	0.1440769659
315	0.1440147913
316	0.1439966794
317	0.1439797495
318	0.1438618246
319	0.143771574
320	0.1436568056
321	0.1435261383
322	0.143493448
323	0.143450349
324	0.1432903798
325	0.1431186319
326	0.1430084015
327	0.142882472
328	0.1427325239
329	0.1426853287
330	0.1426583878
331	0.1426345856
332	0.1425127611
333	0.1423976483
334	0.1422587257
335	0.1421140285
336	0.1420004851
337	0.1419327691
338	0.1419318377
339	0.1418282451
340	0.1417296844
341	0.1415702503
342	0.1414560861
343	0.1412937774
344	0.141169216
345	0.1410284612
346	0.1408991525
347	0.1408716456
348	0.1407337469
349	0.1407061904
350	0.1405358916
351	0.140433058
352	0.1403459287
353	0.1402655132
354	0.1402410774
355	0.1401575934
356	0.1400632589
357	0.1400064796
358	0.139862165
359	0.139766585
360	0.1395830759
361	0.1395089736
362	0.1393867439
363	0.1392464423
364	0.1392225303
365	0.1390961269
366	0.1389853027
367	0.1388478482
368	0.1387746043
369	0.1386212054
370	0.138533454
371	0.1383983055
372	0.1383765449
373	0.1383107242
374	0.1382232616
375	0.1382134608
376	0.1380916536
377	0.1379739742
378	0.1378694776
379	0.1378533873
380	0.1377540251
381	0.1376844941
382	0.1375546721
383	0.1374879984
384	0.1374291614
385	0.1373798367
386	0.1372531207
387	0.1371614905
388	0.1370467914
389	0.1369497805
390	0.1369264889
391	0.1369139444
392	0.1367908097
393	0.1367724553
394	0.1367589949
395	0.1366821339
396	0.1365689767
397	0.1365682409
398	0.13654606
399	0.1364409499
400	0.1363533169
401	0.1362816518
402	0.1361530251
403	0.1360813333
404	0.1360580969
405	0.1359107176
406	0.1357848883
407	0.1356325066
408	0.1355920836
409	0.1354911458
410	0.135373504
411	0.1353471241
412	0.1352931502
413	0.1351556061
414	0.1351463612
415	0.1351151187
416	0.1350066653
417	0.1349132223
418	0.1348394239
419	0.1347140401
420	0.1346321126
421	0.1345962284
422	0.1345361149
423	0.1344692019
424	0.1344685654
425	0.1343843965
426	0.1342806067
427	0.1342527371
428	0.1342380783
429	0.1341177152
430	0.1340077354
431	0.1339924429
432	0.1339311898
433	0.1338075418
434	0.133687291
435	0.1336120338
436	0.1336053302
437	0.1335492587
438	0.1334984266
439	0.1334801044
440	0.1334544878
441	0.1333803705
442	0.1332882371
443	0.1332261017
444	0.1331417876
445	0.1331251338
446	0.1331245757
447	0.1330053859
448	0.1329384377
449	0.1328666594
450	0.1328219412
451	0.1327493772
452	0.1326478773
453	0.1325911658
454	0.1325329376
455	0.1324541022
456	0.1324163389
457	0.1322988101
458	0.1322744562
459	0.1321947751
460	0.132145196
461	0.1320097861
462	0.1319514347
463	0.1318943468
464	0.1318122148
465	0.1317534396
466	0.131674199
467	0.1316581867
468	0.1315730215
469	0.1314488987
470	0.1314308488
471	0.131381189
472	0.1312828117
473	0.1311837783
474	0.1311004373
475	0.1310118766
476	0.1309162348
477	0.1308910512
478	0.1308160489
479	0.1307617426
480	0.1306738499
481	0.1305941144
482	0.1305792711
483	0.1305368094
484	0.1304551923
485	0.1303945941
486	0.1303520035
487	0.1303036654
488	0.1302411628
489	0.1302013182
490	0.1301653597
491	0.1301042986
492	0.1299986116
493	0.1298792475
494	0.129867041
495	0.1297809833
496	0.1296600251
497	0.1296045249
498	0.1295337188
499	0.1295001601
500	0.1294505173
501	0.1293814892
502	0.1292908908
503	0.1292591286
504	0.1292221331
505	0.1292165835
506	0.1291241304
507	0.1290313633
508	0.1290052108
509	0.128951837
510	0.1288876742
511	0.1288834287
512	0.128794787
513	0.1287367849
514	0.1286290655
515	0.1286072898
516	0.1285954613
517	0.1285445838
518	0.1285035379
519	0.1284919514
520	0.1284156126
521	0.1283313987
522	0.1282546554
523	0.128210112
524	0.1281169753
525	0.1280454262
526	0.1279607275
527	0.1278531296
528	0.1277596794
529	0.1277271998
530	0.1276797686
531	0.1276138603
532	0.127549359
533	0.1274608464
534	0.1273821596
535	0.1273535877
536	0.1272968107
537	0.127215063
538	0.1271415055
539	0.1270665993
540	0.1270064453
541	0.1269927702
542	0.1268958378
543	0.1268385146
544	0.1268045995
545	0.1267602157
546	0.1266871406
547	0.126644904
548	0.1265937199
549	0.1265324746
550	0.126482869
551	0.1264188949
552	0.1264001327
553	0.1263535376
554	0.1262779123
555	0.126202552
556	0.126157161
557	0.1261017627
558	0.1260553268
559	0.1260347806
560	0.125958147
561	0.1258480281
562	0.1258116389
563	0.1257569466
564	0.1257443329
565	0.1257210082
566	0.1256751888
567	0.125610746
568	0.1255976277
569	0.1255791332
570	0.1255234402
571	0.1254752089
572	0.1254384667
573	0.1254282077
574	0.1253391232
575	0.1252629995
576	0.1252051338
577	0.1251409163
578	0.125098192
579	0.1250445088
580	0.1249686598
581	0.1249324762
582	0.124861469
583	0.1247787105
584	0.1247314586
585	0.124643862
586	0.1245989249
587	0.1245312576
588	0.1244860374
589	0.1244268033
590	0.1243581076
591	0.1242987846
592	0.1242141694
593	0.1241394885
594	0.1240913485
595	0.1240469049
596	0.1240205824
597	0.1239618981
598	0.1238816721
599	0.123845454
600	0.123802902
601	0.1237798049
602	0.1237172312
603	0.1236552368
604	0.1235638584
605	0.1234940496
606	0.1234320664
607	0.1233642279
608	0.1233323392
609	0.1232836457
610	0.1232090076
611	0.1231748384
612	0.1231469584
613	0.1230842839
614	0.1229904078
615	0.12294229
616	0.1229048604
617	0.122843647
618	0.1228089101
619	0.1227999176
620	0.1227732096
621	0.1227308292
622	0.122686588
623	0.1226083965
624	0.1225654987
625	0.1225209247
626	0.1224382864
627	0.1223812203
628	0.1223355456
629	0.1222891207
630	0.1222792939
631	0.1222235398
632	0.1221819836
633	0.1221312449
634	0.1220596199
635	0.1219870467
636	0.1219562564
637	0.1218654206
638	0.1218092626
639	0.1217767288
640	0.1217058935
641	0.1216565437
642	0.1215892429
643	0.1215463777
644	0.1215209859
645	0.1214746588
646	0.1214168018
647	0.1213578267
648	0.1213443213
649	0.1213113716
650	0.1211971646
651	0.121158666
652	0.1211297857
653	0.1210781532
654	0.1210101478
655	0.120958292
656	0.1209404906
657	0.1209362507
658	0.1208666962
659	0.1208214968
660	0.1207766955
661	0.120727294
662	0.1206219448
663	0.1205654741
664	0.1204709873
665	0.1203680656
666	0.1203474607
667	0.1202646182
668	0.1201797817
669	0.1201716045
670	0.1201268754
671	0.1201070342
672	0.1200543027
673	0.1199759164
674	0.1198897252
675	0.1198707151
676	0.1198584986
677	0.1198164316
678	0.1197511333
679	0.1196846171
680	0.1196262338
681	0.1195468122
682	0.1195089846
683	0.1194331631
684	0.1193986219
685	0.1193459072
686	0.1193163536
687	0.1192588346
688	0.1192301992
689	0.1191735728
690	0.1191248794
691	0.1190591195
692	0.118979523
693	0.1189180938
694	0.1188731334
695	0.1188138281
696	0.1187550028
697	0.1187091019
698	0.1186621229
699	0.1186274153
700	0.1185774022
701	0.1185452157
702	0.1185126938
703	0.1184527891
704	0.1183603394
705	0.1183286615
706	0.1182835098
707	0.1182204374
708	0.118212135
709	0.1181400439
710	0.1180973906
711	0.1180002099
712	0.1179400136
713	0.1178963015
714	0.1178402023
715	0.1178162337
716	0.1177867571
717	0.117739036
718	0.1177149507
719	0.1176795993
720	0.1176181074
721	0.117570714
722	0.1175018284
723	0.1174504905
724	0.1174136561
725	0.1173656908
726	0.1173353176
727	0.1172929306
728	0.1172570466
729	0.117224758
730	0.117186316
731	0.1171308193
732	0.1170819688
733	0.1170231788
734	0.116999286
735	0.1169611274
736	0.1169080967
737	0.1168547115
738	0.1168049846
739	0.1167717536
740	0.1166715679
741	0.1166180649
742	0.116561373
743	0.1165258538
744	0.1164413856
745	0.1163628939
746	0.1163179846
747	0.1162754197
748	0.1162383682
749	0.11621345
750	0.1161290665
751	0.1160589477
752	0.1160164646
753	0.1159473659
754	0.1159137829
755	0.1158739035
756	0.1158227129
757	0.1157755555
758	0.1156859496
759	0.1156387476
760	0.1155933842
761	0.1155656189
762	0.1155292395
763	0.1154680117
764	0.1154228007
765	0.1154151638
766	0.1154085492
767	0.1153180964
768	0.1152890644
769	0.115225397
770	0.1151753122
771	0.1151039994
772	0.1150626929
773	0.11505757
774	0.1150125545
775	0.1149718137
776	0.1149474387
777	0.1148835734
778	0.1148318461
779	0.1148316464
780	0.1148238331
781	0.1147691189
782	0.1146752171
783	0.1146432393
784	0.1146083575
785	0.1145630001
786	0.114478834
787	0.1144267498
788	0.1143633564
789	0.1143100791
790	0.1142836651
791	0.1141994308
792	0.1141480355
793	0.1140833617
794	0.1140525689
795	0.113987582
796	0.1139234707
797	0.1138666989
798	0.1138156435
799	0.1137904766
800	0.113780534
801	0.1137604587
802	0.1137148758
803	0.1136738961
804	0.113648567
805	0.1135856591
806	0.1135239451
807	0.1134845708
808	0.1134316559
809	0.1133686232
810	0.1133243346
811	0.1132832366
812	0.1132269754
813	0.1131285637
814	0.1130579461
815	0.1129921806
816	0.1129734303
817	0.1129426127
818	0.1129143095
819	0.1128754809
820	0.1128184075
821	0.1127940027
822	0.112749509
823	0.112702582
824	0.1126641426
825	0.1126270768
826	0.112626893
827	0.1125576414
828	0.1125050005
829	0.1124561841
830	0.112423334
831	0.1123769423
832	0.112312538
833	0.1122826543
834	0.1122472622
835	0.1121833484
836	0.1121533069
837	0.1121165525
838	0.1120757376
839	0.1120357989
840	0.1119903465
841	0.1119597504
842	0.1119488438
843	0.1119119672
844	0.1118521119
845	0.1117979386
846	0.1117732517
847	0.1117143934
848	0.1116912564
849	0.1116446536
850	0.1115741602
851	0.1115073027
852	0.1114630001
853	0.111428743
854	0.1113815636
855	0.1113375486
856	0.1112910215
857	0.1112384636
858	0.1111987472
859	0.1111764593
860	0.1111427767
861	0.1110982865
862	0.1110563109
863	0.1110163419
864	0.1109930517
865	0.1109618928
866	0.1109020412
867	0.1108522143
868	0.1108229237
869	0.1107861866
870	0.1107426278
871	0.1107004872
872	0.110697161
873	0.1106592431
874	0.1106226901
875	0.110574234
876	0.1105341602
877	0.1105250924
878	0.1104925924
879	0.1104463031
880	0.1104268559
881	0.1104007367
882	0.1103426355
883	0.1103160675
884	0.1102719216
885	0.1102328058
886	0.1101841578
887	0.1101464068
888	0.110083989
889	0.1100509686
890	0.1100118366
891	0.1099241173
892	0.1098767535
893	0.1098157229
894	0.1097687414
895	0.1097287784
896	0.1096648236
897	0.1096157997
898	0.1095770892
899	0.1095226759
900	0.1094722454
901	0.1094229139
902	0.1093609782
903	0.1093261594
904	0.109305582
905	0.1092435696
906	0.1092204818
907	0.1091855948
908	0.1091649188
909	0.109096346
910	0.1090597529
911	0.109048002
912	0.1089862034
913	0.1089291271
914	0.1088882297
915	0.1088558542
916	0.1087922879
917	0.1087578334
918	0.1087013937
919	0.1086620079
920	0.1086252127
921	0.1085864071
922	0.1085429988
923	0.1085037334
924	0.1084758813
925	0.1084215283
926	0.1083943998
927	0.1083518691
928	0.1083155764
929	0.1082561636
930	0.1082283679
931	0.108204959
932	0.1081555074
933	0.10811648
934	0.108086416
935	0.1080378926
936	0.1080110182
937	0.1079806734
938	0.1079284892
939	0.1079039923
940	0.1078591935
941	0.1078366205
942	0.1078301961
943	0.1078002322
944	0.107763042
945	0.1077179979
946	0.1077105838
947	0.1076647901
948	0.1076339701
949	0.1076086791
950	0.1075890595
951	0.1075565708
952	0.1075457143
953	0.1075022087
954	0.1074726023
955	0.1074374576
956	0.107408283
957	0.1073713298
958	0.1073274169
959	0.1072944214
960	0.1072753136
961	0.1072450197
962	0.1072205418
963	0.1071935977
964	0.1071344249
965	0.1070953576
966	0.1070650652
967	0.1070495587
968	0.1070453427
969	0.1070064236
970	0.1069722978
971	0.1069367045
972	0.1068864929
973	0.1068728458
974	0.1068444558
975	0.1068085539
976	0.1067826894
977	0.1067419373
978	0.106741801
979	0.1067129329
980	0.1066753442
981	0.1066331495
982	0.1065896722
983	0.1065763358
984	0.1065477963
985	0.1065036055
986	0.1064604078
987	0.1064340271
988	0.1064240592
989	0.1063766297
990	0.1063510872
991	0.1063091327
992	0.1062859121
993	0.1062374308
994	0.106192829
995	0.106173693
996	0.1061623337
997	0.1061374174
998	0.1061168289
999	0.1060948204
